episode,podcast,rec_1_episode,rec_1_isCorrect,rec_1_podcast,rec_2_episode,rec_2_isCorrect,rec_2_podcast,rec_3_episode,rec_3_isCorrect,rec_3_podcast,rec_4_episode,rec_4_isCorrect,rec_4_podcast,rec_5_episode,rec_5_isCorrect,rec_5_podcast
Encouraging TV Binge Watching May Backfire On Advertisers,hidden-brain,Politics Podcast Pop Up,,codeswitch,55- Three Women and the Sex Industry,,this-american-life,266- I'm From the Private Sector and I'm Here to Help,,this-american-life,You 2.0: Originals,,hidden-brain,205- Plan B,,this-american-life
Evaluating Personality Tests,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Evaluating Smoking Bans,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Even Astronauts Get The Blues: Or Why Boredom Drives Us Nuts,hidden-brain,353- The Audacity of Government,,this-american-life,"Weekly Roundup: Thursday, November 1",,npr-politics-podcast,"Weekly Roundup: Thursday, August 24",,npr-politics-podcast,602- The Sun Comes Up,,this-american-life,"Weekly Roundup: Thursday, October 5",,npr-politics-podcast
"Everybody Lies, And That's Not Always A Bad Thing",hidden-brain,"Originals: How To Spot One, How To Be One ",,hidden-brain,245- Allure of the Mean Friend,,this-american-life,333- The Center for Lessons Learned,,this-american-life,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,,hidden-brain
"Evidence Of Racial, Gender Biases Found In Faculty Mentoring",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Examining Flip Side Of A Firm's Social Responsibility Record,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Examining Links Between Academic Performance And Food Stamps,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Examining Race-Based Admissions Bans On Medical Schools,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Examining The Entourage Effect,hidden-brain,120- Be Careful Who You Pretend to Be,,this-american-life,404- Enemy Camp 2010,,this-american-life,499- Taking Names,,this-american-life,157- Secret Life of Daytime,,this-american-life,391- More Is Less,,this-american-life
Examining The Psychology Of Sports Fans,hidden-brain,,,,,,,,,,,,,,,
Fake News: An Origin Story ,hidden-brain,How Birth Order Relates To Job Success,,hidden-brain,"Originals: How To Spot One, How To Be One ",,hidden-brain,Radio Replay: Loving the Lie,,hidden-brain,245- Allure of the Mean Friend,,this-american-life,172- 24 Hours at the Golden Apple,,this-american-life
Fambul Tok: Forgiveness And 'Family Talk' In Sierra Leone,hidden-brain,Bag O' Worms & The Velocity Of Poop,,wow-in-the-world,How To Fight Racial Bias When It's Silent And Subtle,,hidden-brain,CEO's Voice Tone Can Speak Volumes,,hidden-brain,"Me, Myself, and IKEA: What Our Love For Swedish Furniture Says About Narcissism",,hidden-brain,Why Men Outnumber Women Attending Business Schools,,hidden-brain
Fear Of Blowing Big Calls May Affect How Umpires Do Their Jobs,hidden-brain,23- Drama Bug,,this-american-life,530- Mind Your Own Business,,this-american-life,Watch Your Mouth,,hidden-brain,311- A Better Mousetrap,,this-american-life,436- The Psychopath Test,,this-american-life
Feeding the Green-Eyed Monster: What Happens When Envy Turns Ugly ,hidden-brain,6- Christmas,,this-american-life,EPISODE 29,,Mable,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,161- Million Bubbles,,this-american-life,523- Death and Taxes,,this-american-life
"Feelings Toward A Partner Affect Brand Buying Decisions, Study Says",hidden-brain,,,,,,,,,,,,,,,
Finding The Punchline: Maz Jobrani On Comedy In The Trump Era,hidden-brain,"More Debt, Less Problems",,the-indicator-from-planet-money,Coal Stories 5,,embedded,#881: The Prisoners of the Trade War,,planet-money,Homegrown Genome,,wow-in-the-world,380- No Map,,this-american-life
"Five Ways To Spot A Fake Online Review, Restaurant Or Otherwise",hidden-brain,47- Christmas and Commerce,,this-american-life,Aging Up,,the-indicator-from-planet-money,542- Wait—Do You Have The Map?,,this-american-life,Ask Code Switch: School Daze ,,codeswitch,118- What You Lookin’ At?,,this-american-life
Food For Thought: The Subtle Forces That Affect Your Appetite,hidden-brain,302- Strangers in a Strange Land,,this-american-life,133- Sales,,this-american-life,272- Big Tent,,this-american-life,"Weekly Roundup: Thursday, March 9 ",,npr-politics-podcast,377- Scenes From a Recession,,this-american-life
"For Sale, By Owner: The Psychology Of Repugnant Transactions",hidden-brain,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,523- Death and Taxes,,this-american-life,418- Toxie,,this-american-life,Episode 3,,Mogul The Life and Death of Chris Lighty,620- To Be Real,,this-american-life
Fresh Starts: Tales Of Renewal For A New Year,hidden-brain,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,323- The Super,,this-american-life,"67- Your Dream, My Nightmare",,this-american-life,526- Is That What I Look Like?,,this-american-life,30- Obsession,,this-american-life
"Gig Economy Reduces Lower Quality Entrepreneurial Activity, Study Shows",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Gloomy Thinking Can Be Contagious,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Google Searches Are A Window Into Our Culture,hidden-brain,261- The Sanctity of Marriage,,this-american-life,"Weekly Roundup: Thursday, July 26",,npr-politics-podcast,100- Radio,,this-american-life,"Weekly Roundup: Thursday, November 15",,npr-politics-podcast,"Weekly Roundup: Thursday, November 16",,npr-politics-podcast
"GPS Study Shows Drivers Will Slow Down, At A Cost",hidden-brain,143- Sentencing,,this-american-life,76- Mob,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,281- My Big Break,,this-american-life,666- The Theme That Shall Not Be Named,,this-american-life
"Guys, We Have A Problem: How American Masculinity Creates Lonely Men",hidden-brain,The Extremely Cautious Case For Extremely Mild Optimism,,the-indicator-from-planet-money,Politics Podcast Pop Up,,codeswitch,55- Three Women and the Sex Industry,,this-american-life,266- I'm From the Private Sector and I'm Here to Help,,this-american-life,You 2.0: Originals,,hidden-brain
Hard Evidence: Teachers' Unconscious Biases Contribute To Gender Disparity,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hard To Identify Many Mass Murders As Mentally Ill Beforehand,hidden-brain,"Black Atheists, White Santas, And A Feast For The Deceased",,codeswitch,579- My Damn Mind,,this-american-life,290- Godless America,,this-american-life,#885: Do It For Your Country,,planet-money,The Weight of Our Words,,hidden-brain
"Having An Older Sister Can Change Siblings' Lives, Study Finds",hidden-brain,,,,,,,,,,,,,,,
"Health Experts Don't Always Sanitize Their Hands, Data Show",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hidden Brain: A Study Of Airline Delays,hidden-brain,140- Family Business,,this-american-life,"Weekly Roundup: Thursday, December 21",,npr-politics-podcast,"Weekly Roundup: Thursday, September 15",,npr-politics-podcast,#872: The Halloween Tapes,,planet-money,"Weekly Roundup: Thursday, May 24",,npr-politics-podcast
Hidden Brain: How Cigarette Taxes Affect Food Buying,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hidden Brain: How Miscommunications Happen,hidden-brain,,,,,,,,,,,,,,,
"Hidden Brain: New Research Ties Unconscious Biases, Fear And Voter ID Laws",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hidden Brain: Relationship Between Having Babies And The Economy,hidden-brain,143- Sentencing,,this-american-life,76- Mob,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,281- My Big Break,,this-american-life,666- The Theme That Shall Not Be Named,,this-american-life
Hidden Brain: Researchers Delve Into Improving Concentration,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hidden Brain: Terror Strikes And An Attacker's Identity ,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hidden Brain: What's The Source Of Success In Sports?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Hidden Factors In Your Brain Help To Shape Beliefs On Income Inequality,hidden-brain,Ode On A Grecian Tax,,the-indicator-from-planet-money,#841: The Land Of Duty Free,,planet-money,Why Your Brain Wants To Help One Child In Need — But Not Millions,,hidden-brain,#868: Moneyland,,planet-money,EPISODE 19,,Mable
Hookup Culture: The Unspoken Rules Of Sex On College Campuses,hidden-brain,6- Christmas,,this-american-life,"Weekly Roundup: Thursday, May 3",,npr-politics-podcast,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,523- Death and Taxes,,this-american-life,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast
How 'Broken Windows' Helped Shape Tensions Between Police And Communities,hidden-brain,"Weekly Roundup: Thursday, June 1",,npr-politics-podcast,495- Hot In My Backyard,,this-american-life,#871: Blacklisted In China,,planet-money,Chapter 2 Transcript,,S-Town,72- Trek,,this-american-life
How A Child's Gender May Affect Parents' Willingness To Bend The Truth,hidden-brain,140- Family Business,,this-american-life,"Weekly Roundup: Thursday, December 21",,npr-politics-podcast,"Weekly Roundup: Thursday, September 15",,npr-politics-podcast,#872: The Halloween Tapes,,planet-money,"Weekly Roundup: Thursday, May 24",,npr-politics-podcast
How A Co-Worker's Breast Cancer Diagnosis Affects Colleagues,hidden-brain,161- Million Bubbles,,this-american-life,EPISODE 27,,Mable,"Weekly Roundup: Thursday, October 18",,npr-politics-podcast,"Weekly Roundup: Thursday, April 5",,npr-politics-podcast,EPISODE 29,,Mable
How Being Busy Affects Our Motivation,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Biases Affect Stock Analyst Predictions,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Birth Order Relates To Job Success,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Can Schools Better Persuade Students To Show Up For Class?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Cellphone Use Can Help Determine A Person's Creditworthiness,hidden-brain,,,,,,,,,,,,,,,
How Contestants' Social Security Numbers Could Affect 'Jeopardy' Wagers,hidden-brain,,,,,,,,,,,,,,,
How Decedents' Quality Of Life At The Time Of Death Affects Others,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Do Racial Attitudes Affect Opinions About The Health Care Overhaul?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Do You Get People To Work Harder? Keep The Reward A Secret,hidden-brain,,,,,,,,,,,,,,,
How Do You Keep From Getting Bored? Researchers Have An Answer,hidden-brain,,,,,,,,,,,,,,,
How Does Gender Affect One's Willingness To Compete?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Does Sunshine Affect The Lottery?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Does Winning Math's Fields Medal Affect Productivity?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Elections Influence Judges,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Emotional Responses To Terrorism Shape Attitudes Toward Policies,hidden-brain,143- Sentencing,,this-american-life,76- Mob,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,281- My Big Break,,this-american-life,666- The Theme That Shall Not Be Named,,this-american-life
How Food And Clothing Size Labels Affect What We Eat And What We Wear,hidden-brain,Ask Code Switch: School Daze ,,codeswitch,118- What You Lookin’ At?,,this-american-life,Aging Up,,the-indicator-from-planet-money,47- Christmas and Commerce,,this-american-life,542- Wait—Do You Have The Map?,,this-american-life
How Google's Laszlo Bock Is Making Work Better,hidden-brain,The Extremely Cautious Case For Extremely Mild Optimism,,the-indicator-from-planet-money,Infinity Mirror Part One,,Mable,266- I'm From the Private Sector and I'm Here to Help,,this-american-life,55- Three Women and the Sex Industry,,this-american-life,"Weeky Roundup: Thursday, April 20",,npr-politics-podcast
How Humans Use 'Strategic Ignorance' When Facts Get In The Way,hidden-brain,120- Be Careful Who You Pretend to Be,,this-american-life,404- Enemy Camp 2010,,this-american-life,499- Taking Names,,this-american-life,157- Secret Life of Daytime,,this-american-life,391- More Is Less,,this-american-life
How Illegal Gold Mining Relates To The Spread Of Malaria,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Labels Can Affect People's Personalities And Potential,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Money Managers' Personal Lives Affect Your Investments,hidden-brain,,,,,,,,,,,,,,,
How Obamacare Affects Our Wallets And Debt Ratio,hidden-brain,"'Man Up': How A Fear Of Appearing Feminine Restricts Men, And Affects Us All",,hidden-brain,200- Hearts and Minds,,this-american-life,"The Cassandra Curse: Why We Heed Some Warnings, And Ignore Others",,hidden-brain,277- Apology,,this-american-life,141- Invisible Worlds,,this-american-life
How Partitioned Grocery Carts Can Help Shoppers Buy Healthier Foods,hidden-brain,,,,,,,,,,,,,,,
How Peer Pressure May Encourage Tax Delinquents To Pay Up,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Poker Player Annie Duke Used Gender Stereotypes To Win Matches,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How President Trump's Rhetoric Is Changing The Way Americans Talk,hidden-brain,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,386- Fine Print,,this-american-life,210- Perfect Evidence,,this-american-life,435- How To Create a Job,,this-american-life,6- Christmas,,this-american-life
How Real Estate Markets May Affect The Birth Rate,hidden-brain,,,,,,,,,,,,,,,
How Removing Checkpoints Could Make Israelis More Secure,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How Risk Affects The Way People Think About Their Health,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
"How Scarcity Trap Affects Our Thinking, Behavior",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
"How Science Spreads: Smallpox, Stomach Ulcers, And 'The Vegetable Lamb Of Tartary' ",hidden-brain,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,35- Fall Clearance Sale,,this-american-life,"The Cassandra Curse: Why We Heed Some Warnings, And Ignore Others",,hidden-brain,302- Strangers in a Strange Land,,this-american-life,"'Man Up': How A Fear Of Appearing Feminine Restricts Men, And Affects Us All",,hidden-brain
How Silicon Valley Can Help You Get Unstuck,hidden-brain,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,210- Perfect Evidence,,this-american-life,94- How To,,this-american-life,386- Fine Print,,this-american-life,435- How To Create a Job,,this-american-life
How Stereotypes Can Drive Women To Quit Science,hidden-brain,140- Family Business,,this-american-life,"Weekly Roundup: Thursday, December 21",,npr-politics-podcast,"Weekly Roundup: Thursday, September 15",,npr-politics-podcast,#872: The Halloween Tapes,,planet-money,"Weekly Roundup: Thursday, May 24",,npr-politics-podcast
How Stories Told Of Brilliant Scientists Affect Kids' Interest In The Field,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How The 'Scarcity Mindset' Can Make Problems Worse,hidden-brain,612- Ask a Grown-Up,,this-american-life,634- Human Error in Volatile Situations,,this-american-life,"603- Once More, With Feeling",,this-american-life,617- Fermi’s Paradox,,this-american-life,601- Master of Her Domain… Name,,this-american-life
How The Bias Known As Gambler's Fallacy Affects Our Lives,hidden-brain,,,,,,,,,,,,,,,
How The Brain Tells Real From Fake: From Fine Art To Fine Wine,hidden-brain,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,386- Fine Print,,this-american-life,210- Perfect Evidence,,this-american-life,435- How To Create a Job,,this-american-life,6- Christmas,,this-american-life
How The Housing Industry Affects Students' Future,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How The Minimum Wage Affects Restaurant Hygiene,hidden-brain,"The Cassandra Curse: Why We Heed Some Warnings, And Ignore Others",,hidden-brain,277- Apology,,this-american-life,"Too Little, Too Much: How Poverty and Wealth Affect Our Minds",,hidden-brain,446- Living Without (2011),,this-american-life,"'Man Up': How A Fear Of Appearing Feminine Restricts Men, And Affects Us All",,hidden-brain
How To Build A Better Job,hidden-brain,Antitrust 2: The Paradox,,planet-money,328- What I Learned from Television,,this-american-life,307- In the Shadow of the City,,this-american-life,Janet Yellen's Mystery Story,,the-indicator-from-planet-money,Limetown Ep 5 Transcript,,Limetown
How To Fight Racial Bias When It's Silent And Subtle,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How To Get Low-Income Students Into Selective Colleges,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How To Manipulate People Into Saying 'Yes',hidden-brain,143- Sentencing,,this-american-life,76- Mob,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,281- My Big Break,,this-american-life,666- The Theme That Shall Not Be Named,,this-american-life
How To Sell Green Products To The Self-Regarding Consumer,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
How To Survive (And Maybe Even Enjoy) Thanksgiving Dinner,hidden-brain,Why Are Kids Who Get Less Candy Happier On Halloween?,,hidden-brain,Are Independents Just Partisans In Disguise?,,hidden-brain,#802: The Hotel at the Center of the World,,planet-money,The Cubic Scoop on Wombat Poop!,,wow-in-the-world,The Original Bailout,,the-indicator-from-planet-money
How To Win That Music Competition? Send A Video,hidden-brain,EPISODE 32,,Mable,666- The Theme That Shall Not Be Named,,this-american-life,281- My Big Break,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,76- Mob,,this-american-life
How TV Show Finales Affect The Stock Market,hidden-brain,,,,,,,,,,,,,,,
How What Makes You Laugh (And Cringe) Reveals Your Hidden Biases ,hidden-brain,It's Getting (Dangerously) Hot in Herre,,codeswitch,"Weekly Roundup: Thursday, March 9 ",,npr-politics-podcast,377- Scenes From a Recession,,this-american-life,100- Radio,,this-american-life,"Weekly Roundup: Thursday, July 26",,npr-politics-podcast
Humans Worry About Self-Driving Cars. Maybe It Should Be The Reverse,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
"Hungry, Hungry Hippocampus: Why and How We Eat",hidden-brain,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,210- Perfect Evidence,,this-american-life,94- How To,,this-american-life,386- Fine Print,,this-american-life,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast
"In Gerrymandered Districts, Constituents Likely To Lose Economic Security",hidden-brain,248- Like It or Not,,this-american-life,237- Regime Change,,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,,hidden-brain,26- Father's Day '96,,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,,hidden-brain
In Praise Of Mess: Why Disorder May Be Good For Us,hidden-brain,425- Slow To React,,this-american-life,Getting A Foot In the Door,,codeswitch,"Weekly Roundup: Thursday, July 7 ",,npr-politics-podcast,"Radio Replay: Life, Interrupted",,hidden-brain,We're Going To Start A Dialogue...Again.,,codeswitch
"In The Classroom, Common Ground Can Transform GPAs",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Inconsistency: The Real Hobgoblin,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Indian Engineers Build A Stronger Society With School Lunch Program,hidden-brain,#829: Rigging The Economy,,planet-money,607- Didn’t We Solve This One?,,this-american-life,372- The Inauguration Show,,this-american-life,449- Middle School,,this-american-life,74- Conventions,,this-american-life
Inside The Hole: What Happens To The Mind In Isolation?,hidden-brain,6- Christmas,,this-american-life,523- Death and Taxes,,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,435- How To Create a Job,,this-american-life
"Instead Of Showing Off Wealth, Some Show Off Busy Schedules",hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Invasive Surgery May Motivate Patients To Adopt Healthier Behaviors,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Is Arguing With Passion The Most Effective Way To Persuade Opponents?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Is The Call For Universal Pre-Kindergarten Warranted?,hidden-brain,612- Ask a Grown-Up,,this-american-life,634- Human Error in Volatile Situations,,this-american-life,"603- Once More, With Feeling",,this-american-life,617- Fermi’s Paradox,,this-american-life,601- Master of Her Domain… Name,,this-american-life
Is The Primary System To Blame For Partisanship?,hidden-brain,EPISODE 32,,Mable,666- The Theme That Shall Not Be Named,,this-american-life,281- My Big Break,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,76- Mob,,this-american-life
Is There A Connection Between College Football Games And Risks For Rape?,hidden-brain,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
Is There Really Such A Thing As A 'Trophy Wife'?,hidden-brain,Politics Podcast Pop Up,,codeswitch,55- Three Women and the Sex Industry,,this-american-life,266- I'm From the Private Sector and I'm Here to Help,,this-american-life,You 2.0: Originals,,hidden-brain,205- Plan B,,this-american-life
"It's OK To Protest In China, Just Don't March",hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,Why Now? ,,hidden-brain,"Weekly Roundup: Thursday, June 14",,npr-politics-podcast
Lessons In Leadership: It's Not About You. (It's About Them),hidden-brain,#818: The Problem Of The Root,,planet-money,Researchers Examine Why Tylenol Affects Empathy,,hidden-brain,The Recession Predictor,,the-indicator-from-planet-money,The Economics Of Happiness And A Country's Income Inequality,,hidden-brain,How Real Estate Markets May Affect The Birth Rate,,hidden-brain
"Life, Death And The Lazarus Drug: Confronting America's Opioid Crisis ",hidden-brain,627- Suitable for Children,,this-american-life,36- Letters,,this-american-life,A Year Of Love And Struggle In A New High School,,codeswitch,30- Obsession,,this-american-life,"67- Your Dream, My Nightmare",,this-american-life
Listening To Parents Key To Financial Responsibility,hidden-brain,143- Sentencing,,this-american-life,76- Mob,,this-american-life,53- Valentine’s Day ‘97,,this-american-life,281- My Big Break,,this-american-life,666- The Theme That Shall Not Be Named,,this-american-life
Lonely Hearts,hidden-brain,120- Be Careful Who You Pretend to Be,,this-american-life,404- Enemy Camp 2010,,this-american-life,499- Taking Names,,this-american-life,157- Secret Life of Daytime,,this-american-life,391- More Is Less,,this-american-life
